REG_ANS;Trimestre;Ano;ValorDespesas
313211;1T;2025;4980794.67
313211;1T;2025;61368.96
313211;1T;2025;1556188.91
313211;1T;2025;62855.85
313211;1T;2025;244.0
313211;1T;2025;8952492.19
313211;1T;2025;446335.46
313211;1T;2025;211141.91
313211;1T;2025;55911.62
313211;1T;2025;326272.11
313211;1T;2025;173769.02
315494;1T;2025;1584.16
315494;1T;2025;181396.96
315494;1T;2025;512.09
315494;1T;2025;8386.82
315494;1T;2025;428905.04
315494;1T;2025;16068.37
315494;1T;2025;1600728.17
315494;1T;2025;6746.51
315494;1T;2025;31333.81
315494;1T;2025;3280404.49
315494;1T;2025;6525.0
315494;1T;2025;144197.8
315494;1T;2025;4320.0
315494;1T;2025;7745.0
315494;1T;2025;286083.4
315494;1T;2025;515.96
315494;1T;2025;110.25
315494;1T;2025;115.0
315494;1T;2025;22219.34
315494;1T;2025;495982.28
315494;1T;2025;230.0
315494;1T;2025;27663.97
315494;1T;2025;3513038.93
315494;1T;2025;579094.72
315494;1T;2025;211.43
315494;1T;2025;877716.69
315494;1T;2025;6.3
315494;1T;2025;44744.94
315494;1T;2025;1359251.11
315494;1T;2025;27057.99
315796;1T;2025;107334.65
315796;1T;2025;12850381.36
315796;1T;2025;110913.78
315796;1T;2025;5810653.48
315796;1T;2025;11694320.92
315796;1T;2025;43832.38
315796;1T;2025;6914009.64
315796;1T;2025;66856.01
315796;1T;2025;3030710.09
315796;1T;2025;5647937.15
315796;1T;2025;175878.25
315796;1T;2025;11119272.8
315796;1T;2025;172301.4
315796;1T;2025;3837758.86
315796;1T;2025;7923134.37
317144;1T;2025;4491189.36
317144;1T;2025;57552643.2
317144;1T;2025;207001.29
317144;1T;2025;33926639.44
317144;1T;2025;3924013.8
317144;1T;2025;47607389.71
317144;1T;2025;7489309.48
317144;1T;2025;564.0
317144;1T;2025;73832050.99
317144;1T;2025;581507.81
317144;1T;2025;147876.79
317144;1T;2025;39625791.48
317144;1T;2025;99607.75
317144;1T;2025;273283.27
317144;1T;2025;43087422.82
317144;1T;2025;40456.33
317144;1T;2025;1003.11
317144;1T;2025;160577.16
317144;1T;2025;71334751.73
317144;1T;2025;9902.04
317144;1T;2025;9297.68
317144;1T;2025;179759.68
317896;1T;2025;11893.94
